SIRET,Délai d'attribution moyen,,,,,
244800405,6.6,,,,,
244800470,7.7,,,,,
244900015,17.6,,,,,
244900809,11.9,,,,,
244900882,12.4,,,,,
245100615,6.2,,,,,
245100888,7.6,,,,,
245100979,4.1,,,,,
245200597,5.9,,,,,
245300223,9.9,,,,,
245300355,12.8,,,,,
245300389,7.5,,,,,
245300447,10.6,,,,,
245400171,8.1,,,,,
245400189,8.2,,,,,
245400262,11.2,,,,,
245400510,9.7,,,,,
245400601,8.7,,,,,
245400676,11.6,,,,,
245500327,4.7,,,,,
245501176,2.4,,,,,
245501184,6.5,,,,,
245501242,11.2,,,,,
245501259,3.9,,,,,
245600440,14.1,,,,,
245600465,8.0,,,,,
245614383,11.3,,,,,
245614417,13.3,,,,,
245614433,14.5,,,,,
245700133,5.2,,,,,
245700372,5.4,,,,,
245700398,6.7,,,,,
245700695,7.6,,,,,
245700950,2.6,,,,,
245701164,5.9,,,,,
245701206,3.7,,,,,
245701222,13.0,,,,,
245701271,11.1,,,,,
245701354,10.1,,,,,
245701362,11.8,,,,,
245701404,7.4,,,,,
245801063,4.0,,,,,
245804406,6.0,,,,,
245804497,2.8,,,,,
245900428,14.7,,,,,
245900758,14.6,,,,,
245901038,11.2,,,,,
245901152,14.6,,,,,
245901160,14.4,,,,,
246000129,18.5,,,,,
246000376,13.9,,,,,
246000566,9.3,,,,,
246000582,13.9,,,,,
246000707,11.5,,,,,
246000749,8.1,,,,,
246000756,6.7,,,,,
246000764,17.9,,,,,
246000772,7.9,,,,,
246000848,8.3,,,,,
246000855,5.5,,,,,
246000871,12.5,,,,,
246000897,12.0,,,,,
