,codgeo,taux_accueil_collectif,taux_accueil_individuel,taux_accueil_total,annee
4049,93047,21.8,13.2,36.4,2022
4050,93050,23.3,19.4,44.7,2022
4051,93057,23.1,10.6,36.0,2022
4052,93071,12.9,8.2,24.6,2022
4053,94002,28.5,21.2,51.7,2022
4054,94019,34.7,19.8,54.4,2022
4055,94028,40.7,11.2,54.9,2022
4056,94034,30.1,20.4,50.5,2022
4057,94037,36.8,11.5,56.7,2022
4058,94043,56.1,25.4,82.2,2022
4059,94046,36.8,29.7,66.5,2022
4060,94054,24.0,12.3,42.8,2022
4061,94058,37.8,23.0,60.9,2022
4062,94068,42.4,28.0,73.2,2022
4063,94069,47.3,21.4,68.7,2022
4064,94074,17.2,6.9,31.1,2022
4065,94075,11.8,29.3,41.3,2022
4066,94079,27.7,24.6,53.9,2022
4067,95127,18.5,17.7,38.0,2022
4068,95176,20.9,28.9,49.7,2022
4069,95252,15.7,21.5,37.3,2022
4070,95280,8.4,10.7,20.8,2022
4071,95313,29.6,33.3,65.7,2022
4072,95351,19.6,19.4,38.9,2022
4073,95424,11.4,20.0,34.6,2022
4074,95428,20.5,24.5,45.1,2022
