DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
74103,Domancy (74),Domancy,32,0,0,0,0,0,32
74104,Doussard (74),Doussard,222,4,1,1,1,0,229
74105,Douvaine (74),Douvaine,435,2,0,2,10,0,449
74108,Duingt (74),Duingt,44,0,0,0,2,0,46
74109,Éloise (74),Éloise,,,,,,,6
74112,Epagny Metz-Tessy (74),Epagny Metz-Tessy,625,1,0,68,20,0,714
74114,Essert-Romand (74),Essert-Romand,,,,,,,8
74116,Etaux (74),Etaux,16,0,0,0,1,0,17
74117,Étercy (74),Étercy,16,1,0,0,0,0,17
74118,Étrembières (74),Étrembières,169,2,0,1,2,0,174
74119,Évian-les-Bains (74),Évian-les-Bains,1106,25,3,7,11,0,1152
74121,Excenevex (74),Excenevex,54,0,0,0,1,0,55
74123,Faverges-Seythenex (74),Faverges-Seythenex,741,5,3,20,9,0,778
74124,Feigères (74),Feigères,49,0,1,0,0,0,50
74126,Fessy (74),Fessy,12,0,0,0,0,0,12
74127,Féternes (74),Féternes,37,0,0,0,0,0,37
74128,Fillinges (74),Fillinges,97,1,0,0,0,0,98
74129,La Forclaz (74),La Forclaz,23,0,1,0,0,0,24
74130,Franclens (74),Franclens,16,0,0,1,0,0,17
74131,Frangy (74),Frangy,146,1,0,0,3,0,150
74133,Gaillard (74),Gaillard,1131,6,14,27,16,0,1194
74134,Les Gets (74),Les Gets,75,1,0,36,1,0,113
74136,Le Grand-Bornand (74),Le Grand-Bornand,49,1,0,3,19,0,72
74137,Groisy (74),Groisy,119,0,2,1,0,0,122
74138,Gruffy (74),Gruffy,,,,,,,7
74139,Habère-Lullin (74),Habère-Lullin,36,0,1,0,0,0,37
74140,Habère-Poche (74),Habère-Poche,29,1,0,0,1,0,31
74141,Hauteville-sur-Fier (74),Hauteville-sur-Fier,,,,,,,9
74142,Héry-sur-Alby (74),Héry-sur-Alby,33,0,0,0,3,0,36
74143,Les Houches (74),Les Houches,131,0,0,0,15,0,146
74144,Jonzier-Épagny (74),Jonzier-Épagny,18,2,0,0,0,0,20
74145,Juvigny (74),Juvigny,,,,,,,4
74146,Larringes (74),Larringes,13,0,0,0,0,0,13
74147,Lathuile (74),Lathuile,,,,,,,8
74148,Leschaux (74),Leschaux,,,,,,,5
74150,Loisin (74),Loisin,67,3,0,0,0,0,70
74151,Lornay (74),Lornay,23,1,1,0,0,0,25
74152,Lovagny (74),Lovagny,52,0,0,0,1,0,53
74153,Lucinges (74),Lucinges,28,0,0,0,0,0,28
74154,Lugrin (74),Lugrin,98,2,0,0,2,0,102
74155,Lullin (74),Lullin,33,0,0,0,0,0,33
74156,Lully (74),Lully,,,,,,,9
74157,Lyaud (74),Lyaud,,,,,,,9
74158,Machilly (74),Machilly,17,0,0,1,0,0,18
74159,Magland (74),Magland,174,4,0,0,25,0,203
74160,Manigod (74),Manigod,36,0,0,0,0,0,36
74161,Marcellaz-Albanais (74),Marcellaz-Albanais,12,0,0,0,0,0,12
74162,Marcellaz (74),Marcellaz,20,0,0,0,0,0,20
74163,Margencel (74),Margencel,33,0,0,0,0,0,33
74164,Marignier (74),Marignier,412,10,6,0,6,0,434
74165,Marigny-Saint-Marcel (74),Marigny-Saint-Marcel,16,0,0,0,0,0,16
74166,Marin (74),Marin,59,2,0,0,0,0,61
74169,Marnaz (74),Marnaz,356,9,0,0,2,0,367
74171,Massongy (74),Massongy,44,3,0,0,0,0,47
74172,Maxilly-sur-Léman (74),Maxilly-sur-Léman,30,1,0,0,0,0,31
74173,Megève (74),Megève,144,4,2,1,0,0,151
74174,Mégevette (74),Mégevette,11,1,0,0,0,0,12
74175,Meillerie (74),Meillerie,,,,,,,10
74176,Menthon-Saint-Bernard (74),Menthon-Saint-Bernard,11,0,0,0,0,0,11
74177,Menthonnex-en-Bornes (74),Menthonnex-en-Bornes,30,0,0,0,0,0,30
74179,Mésigny (74),Mésigny,16,0,0,0,0,0,16
74180,Messery (74),Messery,62,0,0,0,1,0,63
74183,Mieussy (74),Mieussy,20,0,0,0,0,0,20
